"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Kessler Edwards,,1.2,0.6,0.5,0.4
Jordan Nwora,88.6,1.5,0.6,0.5,0.4
Loren Woods,88.6,1.1,0.7,0.5,0.4
Yi Jianlian,85.3,1.3,0.7,0.7,0.4
Maceo Baston,84.0,1.1,0.5,0.4,0.3
Jarell Martin,82.8,1.3,0.8,0.6,0.5
Luka Garza,82.5,1.1,0.8,0.7,0.4
Josh Powell,82.0,1.1,0.7,0.6,0.3
Dickey Simpkins,80.4,1.2,0.7,0.6,0.1
Ben McDonald,79.2,1.3,0.7,0.3,0.2
Malik Allen,78.3,1.1,0.9,0.7,0.5
