"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jeremiah Robinson-Earl,,1.9,1.7,1.5,0.6
Jason Smith,91.0,2.2,1.6,1.5,0.7
Terry Driscoll,89.8,1.7,1.7,1.5,0.3
Noah Vonleh,89.3,1.8,1.6,1.2,0.5
Taurean Prince,87.9,2.0,1.5,1.1,0.6
Trendon Watford,87.8,2.1,1.9,1.8,0.7
Zeke Nnaji,86.7,1.8,1.6,1.2,0.9
Jeff Grayer,86.2,1.8,1.5,1.5,0.2
Rasual Butler,85.9,1.7,1.7,1.6,0.1
Wally Walker,85.4,2.0,1.9,1.8,0.9
Togo Palazzi,84.8,2.0,1.6,0.8,0.6
