"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Tre Jones,,4.9,3.4,2.9,2.9,0.4,,
Jim McElroy,88.3,4.9,3.5,2.9,2.6,0.8,0.3,-0.9
Eric Money,86.6,4.2,3.6,3.3,2.7,0.6,0.3,
Ayo Dosunmu,85.6,4.1,3.0,2.9,2.5,,,
Keldon Johnson,85.6,4.9,3.3,3.2,3.0,1.3,1.1,
Skeeter Swift,83.4,4.3,3.4,2.7,1.8,0.0,,
Mitchell Wiggins,82.9,5.4,3.5,3.3,2.0,1.2,-0.1,
Devonte' Graham,82.8,3.4,3.4,2.8,2.5,0.5,0.1,
Joe Hamilton,82.7,4.1,2.9,2.9,2.2,0.2,0.2,
Deni Avdija,81.6,5.6,3.2,2.4,2.3,1.2,,
Speedy Claxton,81.6,4.2,3.7,3.0,2.8,1.2,0.0,-0.7
