"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2008-09,20,CLE,NBA,C,62,0,705,.515,5.0,1.000,.603,.186,.082,.129,.000,.515,.658,.222,.188,.480,,.760,.206,34,,,0,0,
2009-10,21,CLE,NBA,PF,81,73,1691,.554,5.1,.998,.638,.149,.075,.136,.002,.555,.691,.436,.256,.211,.000,.775,.257,117,.000,,1,0,
2010-11,22,CLE,NBA,C,80,66,2256,.458,7.5,.995,.453,.207,.135,.200,.005,.461,.618,.345,.325,.316,.000,.634,.109,99,.200,.000,0,0,
2011-12,23,2TM,NBA,PF,54,19,1244,.467,7.7,.995,.429,.235,.145,.189,.005,.469,.631,.435,.228,.338,.000,.601,.135,44,.000,,0,0,
2011-12,23,SAC,NBA,PF,35,9,644,.370,9.1,.994,.335,.231,.185,.249,.006,.372,.569,.275,.250,.302,.000,.656,.127,17,.000,,0,0,
2011-12,23,POR,NBA,PF,19,10,600,.543,6.3,.995,.502,.237,.114,.142,.005,.546,.664,.558,.200,.387,.000,.571,.142,27,.000,,0,0,
2012-13,24,POR,NBA,C,80,80,2323,.562,5.2,.997,.583,.196,.122,.095,.003,.563,.671,.342,.462,.493,.000,.672,.176,122,.500,.000,0,0,
2013-14,25,DEN,NBA,PF,69,52,1859,.508,6.2,.988,.480,.278,.128,.101,.012,.514,.697,.357,.381,.242,.000,.693,.159,98,.125,.000,1,0,
2014-15,26,DEN,NBA,C,73,8,1411,.475,4.3,.996,.558,.294,.096,.048,.004,.477,.609,.341,.250,.227,.000,.670,.163,68,.500,.000,1,0,
2015-16,27,2TM,NBA,C,35,9,436,.516,5.2,.994,.561,.213,.135,.084,.006,.519,.690,.303,.286,.308,.000,.713,.187,29,.000,,0,0,
2015-16,27,DEN,NBA,C,20,9,305,.505,4.7,1.000,.587,.183,.147,.083,.000,.505,.672,.250,.188,.444,,.764,.211,23,,,0,0,
2015-16,27,WAS,NBA,C,15,0,131,.543,5.7,.978,.500,.283,.109,.087,.022,.556,.739,.385,.600,.000,.000,.600,.130,6,.000,,0,0,
2016-17,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2017-18,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2018-19,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,534,307,11925,.505,5.9,.995,.526,.221,.118,.130,.005,.508,.657,.357,.331,.323,.000,.681,.165,611,.190,.000,3,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,47,1831,.505,5.9,.995,.526,.221,.118,.130,.005,.508,.657,.357,.331,.323,.000,.681,.165,94,.190,.000,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),CLE (3 Yrs),,223,139,4652,.495,5.9,.996,.529,.186,.110,.171,.004,.497,.651,.354,.298,.304,.000,.699,.167,250,.167,.000,1,0,
DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),,162,69,3575,.495,5.0,.992,.519,.276,.118,.079,.008,.499,.659,.344,.319,.258,.000,.691,.165,189,.200,.000,2,0,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,99,90,2923,.558,5.8,.997,.565,.206,.120,.106,.003,.559,.669,.399,.405,.461,.000,.650,.168,149,.333,.000,0,0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,35,9,644,.370,9.1,.994,.335,.231,.185,.249,.006,.372,.569,.275,.250,.302,.000,.656,.127,17,.000,,0,0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,15,0,131,.543,5.7,.978,.500,.283,.109,.087,.022,.556,.739,.385,.600,.000,.000,.600,.130,6,.000,,0,0,
