Season,Team,Lg,Salary
2012-13,Portland Trail Blazers,NBA,"$2,126,520"
2013-14,Portland Trail Blazers,NBA,"$2,222,160"
2014-15,Portland Trail Blazers,NBA,"$2,317,920"
2015-16,Portland Trail Blazers,NBA,"$3,075,880"
2016-17,Portland Trail Blazers,NBA,"$9,213,484"
2017-18,Portland Trail Blazers,NBA,"$9,904,495"
2018-19,Portland Trail Blazers,NBA,"$10,595,506"
2019-20,Miami Heat,NBA,"$11,286,515"
2020-21,Oklahoma City Thunder,NBA,"$9,400,000"
2022-23,Milwaukee Bucks,NBA,"$284,911"
2022-23,Milwaukee Bucks,NBA,"$105,522"
2022-23,Milwaukee Bucks,NBA,"$105,522"
Career,(may be incomplete),,"$60,638,435"
