"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Bobby Simmons,,6.8,5.3,3.4,2.0,0.9,0.7,0.7,0.3,0.1,0.0,,
Paul Walther,84.4,6.6,5.2,3.1,2.2,2.0,1.3,,,,,,
Mike James,80.7,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0.0,-0.1,-0.1,-0.1
Johnny Dawkins,80.5,6.4,4.3,3.6,2.0,1.7,1.1,1.1,1.0,0.6,,,
Randy Wittman,80.3,5.9,4.2,3.5,1.6,1.2,0.7,0.0,0.0,0.0,,,
George Lehmann,80.0,7.3,5.9,2.5,2.3,0.7,0.0,0.0,,,,,
Ted McClain,79.6,7.0,4.2,4.1,2.7,2.0,0.8,0.5,-0.1,,,,
Grayson Allen,79.5,6.9,5.1,4.2,2.7,2.5,1.2,0.0,,,,,
Ron Brewer,79.4,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,,,,
Lance Stephenson,78.9,7.4,5.5,2.2,1.8,1.1,0.8,0.1,-0.2,-0.3,-0.9,,
Jeff McInnis,78.8,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1,
