"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')"
Kevin Love,,14.3,11.4,10.0,8.7,8.5,6.4,6.4,5.7,5.3,4.9,3.8,3.3,2.6,1.3,1.1,0.9,0.4,
Grant Hill,91.9,14.6,11.7,10.7,10.2,7.3,6.6,5.9,5.5,5.4,5.3,5.1,4.4,2.5,1.7,1.6,1.2,0.3,-0.1
Paul George,88.9,11.9,10.8,9.2,9.0,8.9,7.3,7.1,6.0,5.3,4.8,4.6,2.4,1.3,1.0,0.0,,,
Chris Mullin,88.0,12.2,10.8,10.6,10.2,7.6,7.1,5.2,5.1,4.9,4.7,4.1,4.0,2.9,1.7,1.7,0.3,,
Ben Wallace,87.8,11.6,10.6,10.2,10.1,8.5,8.2,7.0,5.6,4.7,3.8,3.6,3.6,2.9,1.9,1.4,-0.2,,
Shawn Kemp,87.0,11.7,11.2,10.6,10.0,9.1,6.8,6.7,6.3,6.1,4.0,2.1,2.0,1.9,0.9,,,,
Vern Mikkelsen,86.4,13.2,12.0,10.9,9.2,8.9,6.6,6.5,6.1,5.4,4.5,,,,,,,,
Chris Webber,85.9,11.0,10.7,9.3,8.6,8.3,7.8,6.9,4.4,4.0,3.6,3.4,3.4,1.9,1.1,0.1,,,
Cliff Hagan,85.8,11.8,11.7,10.8,10.0,8.5,7.1,6.5,6.0,4.7,3.7,3.0,1.3,0.1,,,,,
Amar'e Stoudemire,85.5,14.6,14.6,11.2,10.7,8.0,6.2,6.1,4.4,4.1,3.8,3.6,2.7,2.4,0.1,,,,
Dennis Rodman,85.2,12.6,9.3,8.7,8.7,8.1,7.8,6.8,6.2,6.0,5.8,5.5,2.9,0.8,0.6,,,,
