"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2000-01,22,BOS,NBA,C,24.0,0.0,135.0,0.0,0.0,0.0,65.0,35.0,-4.6,-2.3,10.0,4.0,18.0,4.0,7.0,7.0,0.0,3.0,
2001-02,23,CHH,NBA,C,15.0,0.0,76.0,0.0,0.0,22.0,40.0,38.0,3.5,2.6,2.0,2.0,4.0,3.0,0.0,8.0,0.0,3.0,
2002-03,24,NOH,NBA,C,51.0,1.0,644.0,0.0,0.0,1.0,91.0,8.0,1.5,-1.0,19.0,15.0,46.0,7.0,20.0,49.0,5.0,6.0,
2003-04,25,TOR,NBA,PF,35.0,1.0,417.0,0.0,0.0,0.0,53.0,47.0,-3.2,0.2,8.0,12.0,26.0,1.0,18.0,18.0,3.0,5.0,
2004-05,26,3TM,NBA,PF,20.0,1.0,120.0,0.0,0.0,5.0,32.0,63.0,-14.8,-13.9,1.0,3.0,7.0,1.0,6.0,3.0,1.0,2.0,
2004-05,26,TOR,NBA,C,8.0,1.0,69.0,0.0,0.0,0.0,22.0,78.0,-10.4,-9.0,1.0,2.0,3.0,1.0,4.0,0.0,1.0,2.0,
2004-05,26,NJN,NBA,C,8.0,0.0,24.0,0.0,0.0,0.0,10.0,90.0,6.0,7.8,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,
2004-05,26,CLE,NBA,PF,4.0,0.0,27.0,0.0,0.0,21.0,79.0,0.0,-44.4,-45.6,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,145.0,3.0,1392.0,0.0,0.0,2.0,69.0,29.0,-1.8,-1.7,40.0,36.0,101.0,16.0,51.0,85.0,9.0,19.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,2.0,787.0,0.0,0.0,2.0,69.0,29.0,-1.8,-1.7,23.0,20.0,57.0,9.0,29.0,48.0,5.0,11.0,
,,,,,,,,,,,,,,,,,,,,,,,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,43.0,2.0,486.0,0.0,0.0,0.0,49.0,51.0,-4.2,-1.1,9.0,14.0,29.0,2.0,22.0,18.0,4.0,7.0,
NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),NOH (1 Yr),,51.0,1.0,644.0,0.0,0.0,1.0,91.0,8.0,1.5,-1.0,19.0,15.0,46.0,7.0,20.0,49.0,5.0,6.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,24.0,0.0,135.0,0.0,0.0,0.0,65.0,35.0,-4.6,-2.3,10.0,4.0,18.0,4.0,7.0,7.0,0.0,3.0,
CHH (1 Yr),CHH (1 Yr),CHH (1 Yr),CHH (1 Yr),,15.0,0.0,76.0,0.0,0.0,22.0,40.0,38.0,3.5,2.6,2.0,2.0,4.0,3.0,0.0,8.0,0.0,3.0,
NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),,8.0,0.0,24.0,0.0,0.0,0.0,10.0,90.0,6.0,7.8,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,4.0,0.0,27.0,0.0,0.0,21.0,79.0,0.0,-44.4,-45.6,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,
