"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Jamal Murray,,6.2,5.9,5.5,5.1,5.1,4.6,4.3,1.3,,,,
Brian Winters,93.0,6.2,6.0,5.5,5.1,5.0,4.2,3.5,2.1,1.1,,,
Jimmy Walker,89.8,6.2,6.2,6.1,5.5,5.2,5.1,4.8,3.6,0.4,,,
Spencer Dinwiddie,86.6,6.3,5.7,4.8,4.8,4.1,3.7,3.6,2.8,0.1,0.1,0.1,
Jim Barnett,84.7,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0.0,
Rafer Alston,84.0,6.6,5.9,5.5,5.3,5.0,3.4,1.2,0.7,0.3,-0.4,-0.7,
K.C. Jones,83.6,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3.0,0.8,,,
Ricky Rubio,83.4,6.1,5.9,5.8,5.3,4.9,3.7,3.1,3.0,2.0,1.3,0.7,0.5
Kevin Porter,82.3,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,,
Bojan BogdanoviÄ,82.2,6.8,5.4,5.2,5.2,4.2,3.5,2.9,2.4,1.1,0.9,,
Fred VanVleet,81.4,8.4,6.7,6.5,5.8,5.2,4.7,4.3,4.3,0.2,,,
