"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2011-12,21,WAS,NBA,PF,57.0,20.0,1078.0,0.537,4.3,0.995,0.665,0.197,0.037,0.096,0.005,0.539,0.731,0.186,0.0,0.143,0.0,0.701,0.289,63.0,0.0,0.0,0.0,
2012-13,22,WAS,NBA,PF,51.0,4.0,601.0,0.5,5.6,0.991,0.57,0.202,0.105,0.114,0.009,0.504,0.662,0.348,0.25,0.231,0.0,0.86,0.246,27.0,0.0,0.0,0.0,
2013-14,23,2TM,NBA,PF,54.0,1.0,776.0,0.514,4.0,1.0,0.624,0.283,0.035,0.058,0.0,0.514,0.639,0.347,0.0,0.3,,0.73,0.22,38.0,,0.0,0.0,
2013-14,23,WAS,NBA,PF,33.0,1.0,470.0,0.522,4.2,1.0,0.62,0.272,0.033,0.076,0.0,0.522,0.614,0.44,0.0,0.286,,0.75,0.25,23.0,,0.0,0.0,
2013-14,23,DEN,NBA,PF,21.0,0.0,306.0,0.506,3.8,1.0,0.63,0.296,0.037,0.037,0.0,0.506,0.667,0.25,0.0,0.333,,0.707,0.185,15.0,,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,162.0,25.0,2455.0,0.521,4.5,0.996,0.63,0.228,0.051,0.087,0.004,0.523,0.686,0.287,0.115,0.205,0.0,0.745,0.255,128.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,13.0,1243.0,0.521,4.5,0.996,0.63,0.228,0.051,0.087,0.004,0.523,0.686,0.287,0.115,0.205,0.0,0.745,0.255,65.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),,141.0,25.0,2149.0,0.524,4.7,0.995,0.63,0.215,0.054,0.097,0.005,0.526,0.689,0.297,0.13,0.195,0.0,0.752,0.269,113.0,0.0,0.0,0.0,
DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),DEN (1 Yr),,21.0,0.0,306.0,0.506,3.8,1.0,0.63,0.296,0.037,0.037,0.0,0.506,0.667,0.25,0.0,0.333,,0.707,0.185,15.0,,0.0,0.0,
