"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Paul Davis,,0.2,0.2,0.0,0.0,
Patrick O'Bryant,70.8,0.3,0.2,0.0,0.0,
Tom Riker,67.9,0.2,0.2,0.0,,
Chris Engler,51.8,0.3,0.2,0.2,0.0,0.0
Alan Ogg,48.3,0.5,0.3,0.0,,
Matt Fish,45.0,0.4,0.2,0.0,,
Micah Potter,40.1,0.4,0.3,0.2,0.0,
Tacko Fall,38.3,0.5,0.2,0.1,,
Joe Cooper,35.9,0.2,0.1,0.0,,
Daniel Orton,33.4,0.5,0.3,0.3,,
Mouhamed Sene,31.0,0.2,0.2,0.0,,
