Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2008-09,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2009-10,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2010-11,24,2TM,NBA,C,41,8,595,62,111,.559,0,0,62,111,.559,.559,39,60,.650,37,81,118,20,15,24,34,104,163,0,
2010-11,24,BOS,NBA,C,37,7,531,58,97,.598,0,0,58,97,.598,.598,34,54,.630,31,76,107,19,13,21,32,92,150,0,
2010-11,24,CLE,NBA,C,4,1,64,4,14,.286,0,0,4,14,.286,.286,5,6,.833,6,5,11,1,2,3,2,12,13,0,
2011-12,25,CLE,NBA,C,28,9,333,39,74,.527,0,0,39,74,.527,.527,21,41,.512,20,52,72,9,10,5,16,60,99,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,69,17,928,101,185,.546,0,0,101,185,.546,.546,60,101,.594,57,133,190,29,25,29,50,164,262,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,20,1103,120,220,.546,0,0,120,220,.546,.546,71,120,.594,68,158,226,34,30,34,59,195,311,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),,32,10,397,43,88,.489,0,0,43,88,.489,.489,26,47,.553,26,57,83,10,12,8,18,72,112,0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,37,7,531,58,97,.598,0,0,58,97,.598,.598,34,54,.630,31,76,107,19,13,21,32,92,150,0,
