"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2010-11,24,CHI,NBA,C,15.0,0.0,148.0,0.462,1.9,1.0,0.846,0.154,0.0,0.0,0.0,0.462,0.545,0.0,,,1.0,0.385,5.0,0.0,0.0,
2011-12,25,CHI,NBA,C,6.0,3.0,128.0,0.5,3.3,1.0,0.786,0.143,0.0,0.071,0.0,0.5,0.545,0.0,,1.0,1.0,0.286,4.0,0.0,0.0,
2012-13,26,HOU,NBA,C,6.0,6.0,208.0,0.564,2.2,1.0,0.846,0.103,0.051,0.0,0.0,0.564,0.636,0.25,0.0,,0.727,0.385,13.0,0.0,0.0,
2013-14,27,HOU,NBA,C,6.0,4.0,163.0,0.485,2.4,1.0,0.909,0.03,0.03,0.03,0.0,0.485,0.5,0.0,0.0,1.0,0.563,0.152,5.0,0.0,0.0,
2014-15,28,NOP,NBA,C,4.0,4.0,79.0,0.2,1.9,1.0,0.8,0.2,0.0,0.0,0.0,0.2,0.125,0.5,,,0.0,0.1,1.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,37.0,17.0,726.0,0.486,2.3,1.0,0.853,0.101,0.028,0.018,0.0,0.486,0.527,0.182,0.0,1.0,0.717,0.275,28.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,38.0,1609.0,0.486,2.3,1.0,0.853,0.101,0.028,0.018,0.0,0.486,0.527,0.182,0.0,1.0,0.717,0.275,62.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,21.0,3.0,276.0,0.481,2.6,1.0,0.815,0.148,0.0,0.037,0.0,0.481,0.545,0.0,,1.0,1.0,0.333,9.0,0.0,0.0,
HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,12.0,10.0,371.0,0.528,2.3,1.0,0.875,0.069,0.042,0.014,0.0,0.528,0.571,0.2,0.0,1.0,0.658,0.278,18.0,0.0,0.0,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,4.0,4.0,79.0,0.2,1.9,1.0,0.8,0.2,0.0,0.0,0.0,0.2,0.125,0.5,,,0.0,0.1,1.0,0.0,0.0,
