"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Tayshaun Prince,,9.4,8.0,7.5,7.5,7.0,6.2,3.6,3.3,3.2,2.5,2.1,1.5,0.8,0.4
Hedo TÃ¼rkoÄlu,90.9,9.0,7.6,7.3,6.8,6.7,5.2,4.9,3.4,3.4,2.8,2.6,2.1,0.8,-0.5
Bill Bridges,90.1,8.6,7.6,6.7,6.7,6.6,6.5,3.9,3.9,3.1,2.8,2.6,0.6,0.2,
Jack Marin,90.1,9.1,8.5,8.3,7.5,6.1,5.4,3.9,3.6,3.1,2.5,1.3,,,
Jerome Kersey,90.0,8.8,8.6,6.8,6.8,6.7,6.4,3.8,3.6,3.4,3.2,2.5,2.4,2.2,1.2
Corey Maggette,89.4,8.6,8.1,7.0,6.9,6.3,5.0,3.9,3.4,3.3,3.3,3.0,2.6,0.7,0.1
Mickey Johnson,88.9,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,3.5,2.7,1.8,0.7,,
Derrick Favors,87.3,8.3,8.0,7.9,7.1,5.1,5.1,4.4,4.2,3.0,2.9,2.7,1.4,,
Hot Rod Williams,87.2,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,
Greg Ballard,87.1,9.4,7.9,6.9,6.9,6.0,5.6,3.9,3.6,2.0,1.7,0.0,,,
Zach Randolph,86.9,10.5,9.7,7.9,7.2,7.1,6.4,5.7,4.8,3.1,3.0,3.0,2.1,1.3,0.5
