"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
MarShon Brooks,,1.3,0.8,0.7,0.4,0.1,,
Steve Alford,84.5,1.4,0.9,0.6,0.3,,,
Saben Lee,84.4,1.5,0.9,0.7,0.4,,,
JaKarr Sampson,84.3,1.2,0.8,0.6,0.5,0.3,0.1,
Reggie Jordan,82.2,1.2,0.8,0.6,0.4,0.3,-0.2,
Malachi Flynn,77.8,1.0,0.8,0.5,0.5,0.0,,
John Warren,75.3,1.7,0.9,0.8,0.5,0.3,,
Frank Jackson,73.0,1.2,0.7,0.4,0.2,0.0,,
Steve Henson,72.7,1.2,1.1,1.0,0.2,0.1,0.0,0.0
Nik Stauskas,72.7,1.4,1.1,0.5,0.5,0.3,0.1,
Isaiah Canaan,71.1,1.4,1.4,0.6,0.5,0.2,0.1,
