Season,Team,Lg,Salary
2006-07,Toronto Raptors,NBA,"$4,501,200"
2007-08,Toronto Raptors,NBA,"$4,838,880"
2008-09,Toronto Raptors,NBA,"$5,176,440"
2009-10,Toronto Raptors,NBA,"$6,527,491"
2010-11,Toronto Raptors,NBA,"$8,500,000"
2011-12,Toronto Raptors,NBA,"$9,250,000"
2012-13,Toronto Raptors,NBA,"$10,000,000"
2013-14,New York Knicks,NBA,"$11,862,500"
2014-15,New York Knicks,NBA,"$11,500,000"
2015-16,Brooklyn Nets,NBA,"$1,039,298"
2016-17,Brooklyn Nets,NBA,"$323,599"
Career,(may be incomplete),,"$73,519,408"
