"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '3P%')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2023-24,20,MIN,NBA,WC1,PHO,W (4-0),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-24,20,MIN,NBA,WCS,DEN,W (4-3),1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-24,20,MIN,NBA,WCF,DAL,L (1-4),1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-25,21,MIN,NBA,WC1,LAL,W (4-1),1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024-25,21,MIN,NBA,WCS,GSW,W (4-1),1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,
2024-25,21,MIN,NBA,WCF,OKC,L (1-4),1.0,8.0,11.0,3.0,0.0,0.0,0.0,5.0,6.0,0.833,1.0,1.0,1.0,4.0,5.0,0.8,0.917,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,11.0,
2 Yrs (6 Series),2 Yrs (6 Series),2 Yrs (6 Series),2 Yrs (6 Series),2 Yrs (6 Series),2 Yrs (6 Series),4-2,6.0,3.2,2.2,1.5,0.0,0.0,0.0,6.0,9.0,0.667,1.0,2.0,0.5,5.0,7.0,0.714,0.722,0.0,0.0,4.0,5.0,9.0,0.0,0.0,0.0,1.0,0.0,13.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),WC1 (2 Series),2-0,2.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),WCS (2 Series),2-0,2.0,3.0,1.0,1.5,0.0,0.0,0.0,1.0,3.0,0.333,0.0,1.0,0.0,1.0,2.0,0.5,0.333,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,
WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),WCF (2 Series),0-2,2.0,5.5,5.5,2.5,0.0,0.0,0.0,5.0,6.0,0.833,1.0,1.0,1.0,4.0,5.0,0.8,0.917,0.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,11.0,
