Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2023-24,20,MIN,NBA,SF,3,0,7,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,1,3,4,0,0,0,0,0,0,0,
2024-25,21,MIN,NBA,SF,3,0,13,6,8,0.75,1,1,1.0,5,7,0.714,0.813,0,0,3,2,5,0,0,0,1,0,13,0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,6,0,20,6,9,0.667,1,2,0.5,5,7,0.714,0.722,0,0,4,5,9,0,0,0,1,0,13,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,273,82,123,0.667,14,27,0.5,68,96,0.714,0.722,0,0,55,68,123,0,0,0,14,0,178,0,
