"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Onyeka Okongwu,,7.2,7.1,4.5,4.2,1.9
Truck Robinson,92.3,7.3,6.5,5.1,4.3,2.7
Kenyon Martin,91.4,7.1,6.7,5.3,4.9,2.1
Clifford Robinson,91.3,7.5,6.8,4.6,4.2,0.3
Bob Gross,90.5,7.4,7.1,3.8,2.9,1.7
Grant Long,89.7,7.7,6.5,5.0,4.6,2.7
Tyrone Hill,89.6,6.9,5.7,4.9,4.5,2.1
Eddie Johnson,88.9,7.4,5.6,5.3,4.0,1.8
Chandler Parsons,88.9,7.6,7.0,5.5,4.3,3.4
Alex English,88.7,8.3,7.0,5.3,4.0,1.2
Antonio Davis,88.4,7.4,6.0,5.2,5.0,2.0
