Season,Team,Lg,Salary
2015-16,Atlanta Hawks,NBA,"$525,093"
2016-17,Atlanta Hawks,NBA,"$128,623"
2016-17,Sacramento Kings,NBA,"$100,000"
Career,(may be incomplete),,"$753,716"
