"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Pat Connaughton,,4.4,3.9,3.5,3.4,2.8,2.5,2.5,1.2,0.6,-0.2
Anthony Peeler,92.4,4.1,3.8,3.7,3.2,2.7,2.5,2.4,1.1,0.8,0.6
Henry Bibby,90.7,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0,1.0,
C.J. Watson,90.6,4.0,3.8,3.3,3.2,3.1,2.6,2.1,0.9,0.6,0.4
Cory Joseph,89.9,4.5,3.5,3.5,3.4,3.1,2.9,2.3,2.1,0.9,0.0
Bogdan BogdanoviÄ,89.4,3.9,3.9,3.7,3.1,2.9,2.8,2.7,1.9,,
Luke Kennard,89.0,4.5,3.9,3.4,2.7,2.6,2.5,2.1,1.9,,
Ernie Grunfeld,88.0,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,
Mike Glenn,87.5,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1
Darrell Griffith,87.5,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0.0
Bill Hanzlik,86.9,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1.0,0.7
