"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
DeMarcus Cousins,,7.9,7.6,6.0,5.7,4.7,4.4,4.2,2.4,1.6,1.2,1.1
Darryl Dawkins,91.2,7.9,6.4,6.3,5.7,4.6,4.4,4.0,2.9,2.1,2.1,0.1
Emeka Okafor,90.8,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0,1.0,
Elden Campbell,89.6,8.2,7.0,6.4,5.5,4.7,4.3,4.2,3.8,3.3,2.6,1.1
Sam Lacey,89.1,7.7,7.4,6.5,5.6,5.6,5.0,4.3,4.0,2.7,1.2,0.3
James Edwards,88.3,7.1,7.0,6.7,4.5,4.4,4.3,3.7,3.0,1.5,1.4,1.0
Enes Freedom,88.0,8.1,7.5,7.5,6.4,5.8,5.4,4.4,2.3,2.2,1.7,1.4
Danny Schayes,87.3,8.8,6.8,5.6,4.6,4.5,3.9,2.8,2.0,1.7,1.2,0.9
Myles Turner,87.0,8.0,6.3,5.8,5.4,4.7,4.7,4.2,3.3,3.1,3.1,
Red Rocha,86.7,7.8,7.2,7.0,6.5,5.1,5.0,4.6,3.6,1.0,,
Jim Fox,86.5,6.6,6.4,6.1,5.6,4.6,3.9,3.4,2.4,2.2,0.6,
