"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Alec Burks,,6.1,3.7,3.3,3.2,2.5,1.9,1.8,1.7,1.5,1.5,1.5,1.4,1.0,0.8
Steve Blake,88.6,5.8,3.8,3.3,2.8,2.4,2.1,2.1,1.8,1.8,1.1,1.0,0.7,0.3,
Vernon Maxwell,83.6,5.9,3.9,3.9,3.5,2.8,1.9,1.6,1.5,0.9,0.8,0.8,0.0,0.0,
Shaun Livingston,81.4,4.6,4.4,3.3,2.6,2.6,2.4,2.0,1.9,1.8,1.3,1.3,1.2,0.4,0.1
Gerald Henderson,81.2,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3,1.2,1.1,0.5,0.0,
Marco Belinelli,80.4,5.9,3.7,3.4,3.2,3.0,2.9,2.9,2.5,1.2,0.8,0.5,0.5,0.0,
Beno Udrih,79.4,7.2,5.5,3.6,3.1,2.4,2.2,1.4,1.3,1.3,1.2,1.0,0.8,0.4,
Anthony Morrow,79.0,5.7,3.5,3.0,3.0,2.4,1.9,1.7,1.2,0.7,,,,,
Larry Hughes,78.9,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5,
George McCloud,78.0,5.8,3.8,3.3,3.2,2.6,2.4,2.3,1.4,0.9,0.1,-0.4,-0.7,,
Eric Piatkowski,78.0,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2.0,1.2,0.9,0.1,0.1,0.0
