"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Terance Mann,,5.5,4.3,4.2,3.7,3.0,0.8
Jodie Meeks,94.3,5.1,4.5,4.1,3.1,3.0,0.9
K.C. Jones,92.8,5.8,4.9,3.7,3.6,3.0,0.8
Patrick Beverley,92.4,5.3,4.4,4.2,3.5,2.2,0.4
Sherman Douglas,91.3,5.4,4.4,4.2,2.7,2.6,1.0
Pooh Richardson,91.0,5.9,4.4,4.1,4.0,2.1,1.4
Tyreke Evans,90.1,5.4,4.6,4.4,3.1,2.7,1.6
Rory Sparrow,90.0,5.6,4.3,4.2,4.2,3.7,-0.1
Allen Leavell,89.7,4.8,4.3,4.0,3.8,1.9,0.6
Vernon Maxwell,89.5,5.9,3.9,3.9,3.5,2.8,1.5
Jeremy Lin,89.3,5.4,4.4,3.5,2.7,2.7,0.5
