"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Terance Mann,,5.5,4.3,4.2,3.7,3.0,0.8,,,,
Duncan Robinson,91.3,5.3,3.9,3.7,3.6,2.7,0.5,0.2,,,
Joe Harris,89.9,5.5,5.2,4.3,4.0,2.6,0.8,0.5,0.2,0.0,0.0
Donte DiVincenzo,88.7,6.6,4.3,4.2,3.9,3.6,0.7,0.6,,,
Vincent Askew,86.0,6.0,4.6,4.3,2.9,2.7,1.5,0.2,0.2,-0.2,
O.J. Mayo,86.0,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,,
Monte Morris,85.7,6.2,5.4,4.2,3.8,2.9,1.2,0.8,0.2,,
Immanuel Quickley,84.2,6.7,4.7,4.2,3.2,2.5,,,,,
Ja Morant,83.3,6.7,6.0,3.8,3.5,3.2,0.8,,,,
Jodie Meeks,82.6,5.1,4.5,4.1,3.1,3.0,2.0,1.1,0.9,0.3,0.1
Belus Smawley,82.3,5.6,5.3,5.0,4.5,3.0,-0.6,,,,
