Season,Team,Lg,Salary
2013-14,Boston Celtics,NBA,"$1,986,360"
2014-15,Boston Celtics,NBA,"$2,075,760"
2015-16,Boston Celtics,NBA,"$2,165,160"
2016-17,Boston Celtics,NBA,"$3,094,014"
2017-18,Miami Heat,NBA,"$10,607,169"
2018-19,Miami Heat,NBA,"$12,137,527"
2019-20,Miami Heat,NBA,"$11,667,885"
2020-21,Houston Rockets,NBA,"$12,819,649"
2021-22,Detroit Pistons,NBA,"$12,195,122"
2022-23,Utah Jazz,NBA,"$12,804,878"
2023-24,Toronto Raptors,NBA,"$12,195,122"
2024-25,New Orleans Pelicans,NBA,"$12,804,878"
Career,(may be incomplete),,"$106,553,524"
