"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Dennis Schr̦der,,3.8,3.7,3.6,3.3,3.2,2.9,2.9,2.8,2.6,2.5,2.2,-0.7
Mike Gale,87.5,4.7,4.0,3.9,3.6,3.4,3.3,2.6,2.4,2.4,2.2,2.0,
Trent Tucker,87.5,4.6,4.0,4.0,3.4,3.3,3.3,3.0,2.9,2.8,1.9,1.1,
Cory Joseph,86.2,4.5,3.5,3.5,3.4,3.1,2.9,2.5,2.3,2.1,1.8,0.9,0.0
Anthony Peeler,85.8,4.1,3.8,3.7,3.4,3.2,2.7,2.5,2.4,2.2,1.1,0.8,0.6
T.J. McConnell,81.8,4.8,3.9,3.8,3.8,3.3,3.2,3.1,2.9,1.9,1.3,,
Tim Hardaway Jr.,80.4,4.8,4.4,4.3,3.5,3.1,2.6,2.3,2.2,2.0,1.9,1.8,0.8
C.J. Miles,79.8,4.0,3.6,3.1,2.9,2.6,2.5,2.5,1.9,1.9,1.5,0.3,-0.5
Dell Curry,77.8,5.1,5.0,3.8,3.4,3.3,3.2,2.7,2.0,1.8,1.7,0.9,0.5
T.R. Dunn,77.1,4.9,4.4,4.4,4.1,4.0,3.7,3.3,3.2,2.4,1.6,1.6,0.6
Patrick Beverley,77.0,5.3,4.8,4.4,4.2,4.1,3.6,3.5,3.0,2.7,2.2,2.1,0.4
