Season,Team,Lg,Salary
2010-11,Los Angeles Lakers,NBA,"$473,604"
2011-12,Los Angeles Lakers,NBA,"$762,195"
2012-13,Los Angeles Lakers,NBA,"$1,054,389"
Career,(may be incomplete),,"$2,290,188"
