Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2012-13,21,PHO,NBA,PG,48.0,3.0,702.0,56.0,151.0,0.371,23.0,73.0,0.315,33.0,78.0,0.423,0.447,8.0,14.0,0.571,4.0,38.0,42.0,143.0,22.0,4.0,57.0,48.0,143.0,0.0,
2013-14,22,LAL,NBA,PG,54.0,45.0,1564.0,170.0,419.0,0.406,71.0,178.0,0.399,99.0,241.0,0.411,0.49,19.0,36.0,0.528,15.0,140.0,155.0,477.0,48.0,4.0,150.0,76.0,430.0,0.0,
2014-15,23,MIL,NBA,PG,28.0,3.0,417.0,46.0,101.0,0.455,18.0,46.0,0.391,28.0,55.0,0.509,0.545,8.0,9.0,0.889,2.0,26.0,28.0,86.0,21.0,0.0,35.0,26.0,118.0,0.0,
2015-16,24,PHI,NBA,PG,30.0,6.0,400.0,43.0,118.0,0.364,16.0,49.0,0.327,27.0,69.0,0.391,0.432,9.0,13.0,0.692,2.0,26.0,28.0,73.0,16.0,2.0,43.0,30.0,111.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,160.0,57.0,3083.0,315.0,789.0,0.399,128.0,346.0,0.37,187.0,443.0,0.422,0.48,44.0,72.0,0.611,23.0,230.0,253.0,779.0,107.0,10.0,285.0,180.0,802.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,29.0,1580.0,161.0,404.0,0.399,66.0,177.0,0.37,96.0,227.0,0.422,0.48,23.0,37.0,0.611,12.0,118.0,130.0,399.0,55.0,5.0,146.0,92.0,411.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,54.0,45.0,1564.0,170.0,419.0,0.406,71.0,178.0,0.399,99.0,241.0,0.411,0.49,19.0,36.0,0.528,15.0,140.0,155.0,477.0,48.0,4.0,150.0,76.0,430.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,48.0,3.0,702.0,56.0,151.0,0.371,23.0,73.0,0.315,33.0,78.0,0.423,0.447,8.0,14.0,0.571,4.0,38.0,42.0,143.0,22.0,4.0,57.0,48.0,143.0,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,30.0,6.0,400.0,43.0,118.0,0.364,16.0,49.0,0.327,27.0,69.0,0.391,0.432,9.0,13.0,0.692,2.0,26.0,28.0,73.0,16.0,2.0,43.0,30.0,111.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,28.0,3.0,417.0,46.0,101.0,0.455,18.0,46.0,0.391,28.0,55.0,0.509,0.545,8.0,9.0,0.889,2.0,26.0,28.0,86.0,21.0,0.0,35.0,26.0,118.0,0.0,
