"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Kendall Marshall,,0.9,0.8,-0.2,-0.5
Bobby Lewis,78.8,1.0,0.7,-0.1,-0.4
Bernie Williams,50.5,1.1,0.8,0.1,-0.3
Nickeil Alexander-Walker,49.1,1.1,0.7,0.1,-0.2
Tony Bennett,48.2,0.9,0.7,0.0,
Earl Boykins,47.5,1.0,0.8,0.3,-0.3
LaBradford Smith,46.1,0.8,0.8,-0.1,
Charlie Davis,46.0,0.8,0.7,-0.1,
Pat Riley,42.7,1.0,0.6,0.3,-0.6
Litterial Green,42.1,0.8,0.8,0.1,-0.1
Carlos Terry,42.1,0.8,0.8,-0.1,
