"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Mitchell Robinson,,8.5,6.8,6.5,6.1,3.4,2.5,1.3,,,,,
Deandre Ayton,90.6,8.4,7.3,6.2,5.8,3.9,3.1,2.8,,,,,
Elmore Smith,90.3,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,,,,
Daniel Gafford,88.4,7.8,6.1,6.0,5.9,3.5,1.9,,,,,,
Andrew Bynum,84.4,8.0,7.8,6.6,5.5,4.8,4.2,0.4,0.1,,,,
Neal Walk,84.4,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,,,,
Tom Boerwinkle,83.6,9.0,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2,,
Steve Stipanovich,82.9,9.0,6.9,5.9,5.0,3.6,,,,,,,
Ray Felix,82.7,8.6,7.2,5.8,5.5,5.5,2.3,2.0,1.8,0.8,,,
Rony Seikaly,82.1,6.8,6.7,6.5,6.2,3.2,3.0,2.7,2.3,0.7,-0.3,-0.5,
Darrall Imhoff,79.1,8.2,5.9,5.0,4.9,2.4,2.1,0.9,0.7,0.7,0.0,-0.2,-0.6
