"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2018-19,20,NYK,NBA,C,66,19,1360,0.694,1.5,1.0,0.904,0.086,0.003,0.007,0.0,0.694,0.734,0.32,1.0,0.0,0.644,0.526,128,0,0,ROY-8
2019-20,21,NYK,NBA,C,61,7,1412,0.742,1.3,1.0,0.924,0.073,0.003,0.0,0.0,0.742,0.775,0.36,0.0,,0.668,0.616,185,0,0,
2020-21,22,NYK,NBA,C,31,29,853,0.653,1.3,1.0,0.909,0.091,0.0,0.0,0.0,0.653,0.688,0.313,,,0.626,0.528,84,0,0,
2021-22,23,NYK,NBA,C,72,62,1848,0.761,1.2,1.0,0.918,0.082,0.0,0.0,0.0,0.761,0.781,0.536,,,0.517,0.583,178,0,0,
2022-23,24,NYK,NBA,C,59,58,1591,0.671,1.2,1.0,0.918,0.075,0.004,0.004,0.0,0.671,0.7,0.333,1.0,0.0,0.574,0.521,130,0,0,
2023-24,25,NYK,NBA,C,31,21,768,0.575,1.0,1.0,0.929,0.071,0.0,0.0,0.0,0.575,0.602,0.222,,,0.479,0.409,45,0,0,
2024-25,26,NYK,NBA,C,17,3,290,0.661,1.1,1.0,0.893,0.107,0.0,0.0,0.0,0.661,0.72,0.167,,,0.378,0.411,20,0,0,
2025-26,27,NYK,NBA,C,8,8,137,0.609,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.609,0.609,,,,0.357,0.435,9,0,0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,345,207,8259,0.698,1.1,1.0,0.917,0.079,0.002,0.002,0.0,0.698,0.729,0.362,0.667,0.0,0.584,0.542,779,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,49,1963,0.698,1.1,1.0,0.917,0.079,0.002,0.002,0.0,0.698,0.729,0.362,0.667,0.0,0.584,0.542,185,0,0,
