"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jalen Suggs,,4.7,1.4,1.1,-1.6
Erick Strickland,71.6,4.9,1.3,0.3,-0.9
Will Barton,67.4,4.3,1.3,0.6,-0.5
Ernie Beck,66.4,4.3,2.1,1.1,-0.4
Terry Dehere,66.3,5.0,1.2,0.5,-0.4
John Barnhill,65.8,4.6,1.1,1.0,0.4
Al Butler,61.3,4.1,2.1,1.1,-0.3
Carlos Arroyo,60.4,4.7,1.3,0.4,0.3
D'Angelo Russell,60.0,5.0,1.3,0.4,0.0
Charlie Williams,59.3,3.9,1.3,0.6,-0.7
Darrick Martin,59.1,4.6,1.9,0.5,0.1
