"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Leandro Barbosa,,8.2,5.5,5.0,3.8,2.8,2.1,1.9,1.8,1.7,1.5,1.1,0.9,0.6,0.4
Jon Barry,89.3,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
Brevin Knight,87.8,8.4,4.9,4.5,2.8,2.5,2.1,1.8,1.7,1.6,1.4,0.7,0.2,,
John Salmons,87.3,7.1,5.6,4.3,3.7,3.6,2.1,1.7,1.7,1.6,1.4,0.6,0.4,0.1,
Arron Afflalo,84.1,6.2,5.3,5.3,4.3,2.7,2.6,2.0,1.9,1.8,1.4,0.1,,,
Vinny Del Negro,83.9,8.3,6.8,5.7,3.7,3.5,3.1,2.5,2.2,1.6,1.6,1.5,0.0,,
Mo Williams,83.7,9.8,6.7,4.5,3.2,2.8,2.5,2.2,2.2,2.1,1.8,1.1,1.0,0.2,
Beno Udrih,83.3,7.2,5.5,3.6,3.1,2.4,2.2,1.4,1.3,1.3,1.2,1.0,0.8,0.4,
Raja Bell,83.2,6.8,5.8,4.5,3.7,3.6,2.2,1.7,1.7,1.1,1.1,0.5,-0.1,,
Reggie Jackson,82.8,6.9,5.0,4.9,4.9,3.7,2.5,2.1,2.0,1.9,1.1,0.6,0.4,0.1,0.1
Larry Hughes,82.5,7.7,3.9,3.8,3.7,2.4,2.4,2.1,1.8,1.8,1.7,0.7,0.6,-0.5,
