"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
James Ennis III,,3.1,3.1,2.6,2.4,2.0,1.9,0.9,0.1
Mike Scott,90.2,3.2,2.7,2.6,2.5,2.5,1.6,0.9,-0.1
Scott Williams,90.1,3.9,3.1,2.6,2.3,1.7,1.7,0.9,0.3
P.J. Washington,89.6,3.4,2.7,2.6,2.4,2.0,1.9,,
Tom Hawkins,89.5,3.2,2.9,2.5,2.4,2.3,2.1,1.2,1.0
Reggie Evans,89.3,3.8,3.0,2.7,2.3,2.1,1.9,1.7,0.2
Andrew DeClercq,88.4,3.4,3.1,2.9,2.6,2.5,1.6,1.0,0.4
Anthony Tolliver,88.4,3.3,3.2,2.8,2.7,2.5,1.2,0.9,0.0
Sidney Green,88.3,3.4,2.7,2.5,2.0,1.9,1.7,0.6,0.3
Corky Calhoun,87.6,3.1,2.5,2.3,2.2,2.1,1.3,1.0,0.0
Kevin Restani,86.8,3.5,2.6,2.2,2.1,2.0,1.8,0.5,0.0
