"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Khyri Thomas,,0.5,0.0,0.0
Paul McCracken,91.0,0.5,0.0,0.0
DeAndre Liggins,82.2,0.6,0.0,0.0
Bryan Warrick,81.1,0.5,0.1,0.0
Stanley Umude,74.3,0.5,0.0,-0.2
Clay Johnson,73.9,0.6,0.1,0.0
Joe Young,72.0,0.5,-0.1,-0.1
Stephen Graham,71.2,0.4,0.0,-0.1
Lester Qui̱ones,71.1,0.6,0.0,-0.1
Gus Bailey,70.1,0.5,0.2,0.0
Carl Thomas,68.3,0.7,0.0,0.0
