"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Davion Mitchell,,3.0,1.5,1.3,0.1,,,,
Bennedict Mathurin,91.2,3.0,1.8,1.4,,,,,
Anthony Goldwire,88.6,3.0,1.7,1.5,0.3,0.1,0.1,-0.1,-0.1
Tyus Edney,87.7,3.3,1.5,1.5,0.5,,,,
Ralph Johnson,86.2,2.9,1.6,0.8,0.0,,,,
Tom Garrick,85.7,2.5,1.8,1.4,0.2,,,,
Andrew Nembhard,84.8,2.8,2.0,1.2,,,,,
Justin Jackson,84.1,2.9,1.2,1.0,0.2,0.1,0.0,0.0,
Gabe Vincent,82.5,2.5,1.4,1.3,0.2,-0.1,-0.2,,
Angelo Musi,80.5,3.5,1.3,1.1,,,,,
Louie Nelson,80.3,2.9,2.3,1.1,0.0,0.0,,,
