"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Justise Winslow,,2.8,2.6,2.5,0.8,0.4,0.0,-0.1,-0.7
Shabazz Muhammad,84.0,2.7,2.7,2.0,0.7,0.3,,,
Naji Marshall,80.3,3.5,2.6,2.5,0.9,0.8,,,
Mickey Davis,77.3,3.4,2.6,2.3,0.4,0.3,-0.1,,
Arnie Ferrin,76.3,2.6,2.6,2.4,,,,,
Bruce Seals,74.7,2.9,2.4,1.6,0.6,0.3,,,
Kenny Williams,72.9,2.7,2.4,1.6,0.7,,,,
Ron Thomas,72.2,2.7,2.0,1.8,0.8,,,,
Ira Newble,71.7,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1
Don Collins,71.5,3.5,3.4,2.6,0.9,0.0,0.0,,
Don Barksdale,71.1,3.1,2.3,2.2,1.5,,,,
