"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
D.J. White,,1.8,0.8,0.6,0.4,0.2,0.0
Byron Houston,87.8,1.8,0.9,0.7,0.5,,
Stanley Johnson,87.0,1.8,1.0,0.6,0.5,0.4,0.0
Tellis Frank,81.9,2.0,1.1,0.6,0.3,0.1,
Julian Wright,81.9,1.7,0.8,0.8,0.6,,
Tony Brown,78.9,1.8,1.3,0.5,0.2,0.2,0.0
Billy Schaeffer,78.3,1.9,0.8,0.5,,,
Cliff Meely,78.1,1.8,1.2,1.0,0.4,0.2,
Bob Portman,77.5,1.9,1.2,0.8,0.5,,
Bruno Fernando,76.9,1.5,0.9,0.8,0.4,0.3,-0.1
Jordan Nwora,76.9,1.5,0.6,0.5,0.4,,
