"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
D.J. White,,1.8,0.8,0.6,0.4,0.2,0.0
Byron Houston,87.8,1.8,0.9,0.7,0.5,,
Tellis Frank,81.9,2.0,1.1,0.6,0.3,0.1,
Julian Wright,81.9,1.7,0.8,0.8,0.6,,
Billy Schaeffer,78.3,1.9,0.8,0.5,,,
Cliff Meely,78.1,1.8,1.2,1.0,0.4,0.2,
Bob Portman,77.5,1.9,1.2,0.8,0.5,,
Bruno Fernando,76.9,1.5,0.9,0.8,0.4,0.3,-0.1
Jordan Nwora,76.9,1.5,0.6,0.5,0.4,,
Jarell Martin,76.3,1.3,0.8,0.6,0.5,,
Joe Kopicki,75.8,1.9,0.9,0.7,,,
