"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Cedi Osman,,3.3,2.9,1.9,1.6,1.5,0.9,0.5
Marvin Bagley III,88.8,3.6,2.7,2.0,2.0,1.4,0.6,0.4
Michael Curry,86.2,3.2,2.9,2.0,1.7,1.7,1.6,-0.2
Don Adams,85.3,3.6,2.9,1.6,1.1,0.9,0.8,0.7
Tim Bassett,85.3,3.7,2.6,2.4,1.5,1.4,1.1,0.1
Luke Walton,85.3,3.8,3.2,2.0,2.0,1.6,0.5,0.3
Lawrence Funderburke,85.2,3.7,3.1,2.1,1.9,1.6,0.5,0.1
Toby Kimball,85.2,3.2,2.5,2.0,1.2,1.2,0.4,0.2
Sidney Green,85.1,3.4,2.7,2.5,2.0,1.7,0.6,0.3
Joe Bryant,85.0,3.4,2.2,1.8,1.5,1.5,1.3,1.2
Matt Bullard,84.7,3.4,2.5,2.4,1.7,1.0,0.6,0.2
