"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Ja Morant,,6.7,6.0,3.8,3.5,3.2,0.8
Kyle Lowry,90.0,7.0,4.9,4.3,3.6,3.4,0.5
Bojan BogdanoviÄ,89.9,6.8,5.4,4.2,2.9,2.4,0.9
K.C. Jones,88.9,5.8,4.9,3.7,3.6,3.0,0.8
Monte Morris,88.5,6.2,5.4,4.2,3.8,2.9,0.2
Delonte West,88.5,6.4,5.7,3.7,3.3,1.3,0.9
Vinnie Johnson,87.5,7.7,5.9,4.2,4.1,2.7,0.2
Travis Best,87.3,7.2,5.1,4.1,3.3,2.1,0.7
Mike Woodson,87.3,7.8,5.7,4.2,4.2,4.0,0.9
Fred VanVleet,87.1,6.7,5.8,4.7,4.3,4.3,0.2
D.J. Augustin,86.5,6.2,6.2,5.1,2.8,2.8,0.5
