"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Wendell Moore Jr.,,0.7,0.1,0.1,
Othyus Jeffers,97.9,0.7,0.1,0.1,
Tom Ingelsby,90.3,0.7,0.1,0.0,
Brandon Goodwin,79.3,0.7,0.2,0.1,0.0
Carl Thomas,76.3,0.7,0.0,0.0,
Clay Johnson,75.4,0.6,0.1,0.0,
Paul Watson,73.3,0.6,0.2,0.0,
Archie Goodwin,72.2,0.7,0.2,0.2,0.1
Jared Rhoden,70.6,0.6,0.3,0.1,
Bryce McGowens,70.3,0.6,0.1,-0.1,
Connie Norman,66.2,0.8,0.2,0.2,
