"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Wendell Moore Jr.,,0.7,0.1,0.1
Othyus Jeffers,97.9,0.7,0.1,0.1
Tom Ingelsby,90.3,0.7,0.1,0.0
Kevin Williams,77.3,0.6,0.1,0.1
Carl Thomas,76.3,0.7,0.0,0.0
Clay Johnson,75.4,0.6,0.1,0.0
Paul Watson,73.3,0.6,0.2,0.0
Terry Duerod,72.5,0.7,0.2,0.2
Jared Rhoden,70.6,0.6,0.3,0.1
Bryce McGowens,70.3,0.6,0.1,-0.1
DeAndre Liggins,69.2,0.6,0.0,0.0
