"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Hilton Armstrong,,1.5,1.2,0.5,0.5,0.3,-0.1,
Anthony Gill,86.6,1.4,1.3,0.6,0.5,0.4,,
Bruno Fernando,79.8,1.5,0.9,0.8,0.4,0.3,-0.1,
Nassir Little,77.0,1.7,1.1,0.7,0.7,0.6,,
Rafael Addison,75.1,1.5,1.5,0.9,0.4,0.4,0.2,
Cliff Meely,75.1,1.8,1.2,1.0,0.4,0.2,,
John Thomas,75.1,1.5,0.9,0.4,0.4,0.0,,
Gary Gregor,74.5,1.4,1.1,0.8,0.5,0.5,-0.4,
Henry Walker,73.5,1.9,1.1,0.9,0.5,0.5,,
D.J. White,72.9,1.8,0.8,0.6,0.4,0.2,0.0,
Tony Brown,72.6,1.8,1.3,0.9,0.5,0.2,0.2,0.0
