"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'College')","('Unnamed: 3_level_0', 'G')","('Unnamed: 4_level_0', 'MP')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', '3P')","('Totals', '3PA')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'ORB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Shooting', 'FG%')","('Shooting', '3P%')","('Shooting', 'FT%')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')"
2006-07,18.0,KANSAS,38,721,155,288,0,5,64,99,78,177,17,33,56,52,103,374,0.538,0.0,0.646,19.0,9.8,4.7,0.4
2007-08,19.0,KANSAS,40,989,214,394,2,12,80,114,92,250,33,20,53,75,118,510,0.543,0.167,0.702,24.7,12.8,6.3,0.8
Career,,,78,1710,369,682,2,17,144,213,170,427,50,53,109,127,221,884,0.541,0.118,0.676,21.9,11.3,5.5,0.6
