Season,Team,Lg,Salary
2013-14,Philadelphia 76ers,NBA,"$2,200,920"
2014-15,Milwaukee Bucks,NBA,"$2,300,040"
2015-16,Milwaukee Bucks,NBA,"$2,399,040"
2016-17,Chicago Bulls,NBA,"$3,183,526"
2017-18,Charlotte Hornets,NBA,"$2,700,000"
2018-19,Chicago Bulls,NBA,"$1,200,000"
2018-19,Orlando Magic,NBA,"$268,083"
2019-20,Orlando Magic,NBA,"$2,028,594"
2020-21,Orlando Magic,NBA,"$3,300,000"
2021-22,Orlando Magic,NBA,"$3,300,000"
2022-23,Orlando Magic,NBA,"$652,829"
Career,(may be incomplete),,"$23,533,032"
