"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Eric Paschall,,2.1,2.0,0.9,,,
Sam Pellom,90.4,2.2,1.8,0.7,0.0,,
Cliff Pondexter,87.0,2.2,1.5,1.0,,,
Bol Bol,86.9,2.3,1.6,0.9,0.1,0.1,0.0
Donnell Harvey,86.9,2.0,1.8,0.7,0.2,0.1,
Al Eberhard,85.9,2.6,1.8,0.9,0.0,,
Carey Scurry,85.9,2.6,1.8,0.9,,,
Bob Bedell,84.8,2.4,2.2,0.8,0.1,,
Joe Holup,84.1,2.1,1.8,0.3,,,
Stan Love,84.0,2.2,2.1,0.7,0.6,,
Dave Sorenson,83.5,2.6,2.1,0.7,,,
