"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
David Roddy,,1.1,0.5,0.1
Joe Holland,90.0,1.2,0.6,0.2
Jerome Lane,87.7,1.2,0.6,0.1
Cal Bowdler,85.1,1.0,0.5,0.2
James Wilkes,83.8,1.1,0.8,0.1
Dickey Simpkins,83.6,1.2,0.7,0.1
Winston Bennett,83.5,1.1,0.3,0.2
Ronald Dupree,83.5,1.0,0.5,0.3
Loren Woods,82.4,1.1,0.5,0.4
Kenny Dennard,81.5,1.1,0.3,0.1
Michael Ruffin,81.3,1.0,0.6,0.0
