"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
David Roddy,,1.1,0.5,0.1,,,
Joe Holland,90.0,1.2,0.6,0.2,,,
Cal Bowdler,85.1,1.0,0.5,0.2,,,
James Wilkes,83.8,1.1,0.8,0.1,,,
Winston Bennett,83.5,1.1,0.3,0.2,,,
Kenny Dennard,81.5,1.1,0.3,0.1,,,
Bob McCann,80.3,1.3,0.6,0.1,0.1,0.0,
Tremaine Fowlkes,78.9,1.2,0.5,0.4,0.0,,
Ronald Dupree,78.7,1.0,0.5,0.3,0.1,0.0,0.0
Tyler Cook,75.7,0.8,0.5,0.2,,,
Viktor Khryapa,74.6,1.3,0.4,0.3,0.0,,
