Season,Team,Lg,Salary
2012-13,Orlando Magic,NBA,"$788,872"
2013-14,Orlando Magic,NBA,"$788,872"
2014-15,Orlando Magic,NBA,"$915,243"
2015-16,New York Knicks,NBA,"$3,750,000"
2016-17,New York Knicks,NBA,"$3,900,000"
2017-18,New York Knicks,NBA,"$4,087,500"
2018-19,Indiana Pacers,NBA,"$4,449,000"
2019-20,Philadelphia 76ers,NBA,"$2,028,594"
Career,(may be incomplete),,"$20,708,081"
