"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Jaden Ivey,,1.2,0.5,0.0,
Kyle Weaver,87.9,1.2,0.3,0.0,
Nate Hawthorne,84.7,1.1,0.5,0.1,
Eddie Hughes,84.4,1.0,0.4,0.0,
Tate George,84.3,1.1,0.4,0.0,-0.1
Tre Mann,82.7,1.2,0.5,0.1,0.1
Stan Pietkiewicz,81.8,1.0,0.6,0.0,
Sundiata Gaines,79.6,1.0,0.5,-0.1,
Matt Thomas,78.1,1.2,0.6,0.2,
Bryan Warrick,75.6,1.0,0.5,0.1,0.0
Romeo Langford,75.2,1.3,0.5,0.2,0.0
