Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2007-08,24,HOU,NBA,SF,3.0,0.0,21.0,8.1,10.8,0.75,5.4,8.1,0.667,2.7,2.7,1.0,1.0,0.0,0.0,2.7,2.7,5.4,0.0,0.0,2.7,0.0,5.4,21.6,198.0,112.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,27,SAS,NBA,SF,1.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,8.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,,110.0,
2011-12,28,NYK,NBA,PF,5.0,1.0,95.0,2.3,5.2,0.444,2.3,4.1,0.571,0.0,1.2,0.0,0.667,0.0,0.0,1.7,7.0,8.7,0.0,0.0,0.6,1.7,4.1,7.0,107.0,114.0,
2012-13,29,NYK,NBA,SF,9.0,0.0,50.0,7.8,14.4,0.538,4.4,10.0,0.444,3.3,4.4,0.75,0.692,0.0,0.0,2.2,2.2,4.4,0.0,1.1,0.0,0.0,5.5,19.9,143.0,105.0,
2013-14,30,TOR,NBA,PF,4.0,0.0,15.0,0.0,10.8,0.0,0.0,10.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,18.0,18.0,3.6,0.0,0.0,0.0,0.0,0.0,21.0,108.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,22.0,1.0,187.0,4.1,8.6,0.483,3.0,6.5,0.455,1.2,2.1,0.571,0.655,0.0,0.0,1.8,6.2,8.0,0.3,0.3,0.6,0.9,4.1,11.2,124.0,111.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,14.0,1.0,145.0,4.2,8.4,0.5,3.0,6.1,0.5,1.1,2.3,0.5,0.682,0.0,0.0,1.9,5.3,7.2,0.0,0.4,0.4,1.1,4.6,11.4,125.0,111.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,4.0,0.0,15.0,0.0,10.8,0.0,0.0,10.8,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,18.0,18.0,3.6,0.0,0.0,0.0,0.0,0.0,21.0,108.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,3.0,0.0,21.0,8.1,10.8,0.75,5.4,8.1,0.667,2.7,2.7,1.0,1.0,0.0,0.0,2.7,2.7,5.4,0.0,0.0,2.7,0.0,5.4,21.6,198.0,112.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,1.0,0.0,6.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,8.8,8.8,0.0,0.0,0.0,0.0,0.0,0.0,,110.0,
