"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Bojan BogdanoviÄ,,6.8,5.4,5.2,5.2,4.2,3.5,2.9,2.4,1.1,0.9
Lou Williams,93.5,6.6,6.1,5.2,5.1,4.4,3.4,2.6,2.4,1.1,-0.1
Luke Ridnour,91.0,6.2,5.4,4.4,4.3,4.0,3.4,3.3,2.3,1.2,0.9
Al Attles,90.3,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8
Aaron McKie,90.3,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2.0,1.6,1.4
J.R. Smith,90.0,6.7,5.8,5.0,3.7,3.7,3.7,2.7,2.5,1.2,0.2
Jrue Holiday,89.7,7.1,5.7,5.4,4.2,3.8,3.4,3.4,3.3,1.5,1.2
John Paxson,89.1,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6
Jim Barnett,88.6,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.0
Ricky Rubio,88.5,6.1,5.9,5.8,5.3,4.9,3.7,3.1,3.0,2.0,0.5
Austin Carr,88.2,5.9,5.4,5.3,5.0,3.4,2.9,2.6,2.0,1.0,-0.4
