"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jaren Jackson Jr.,,6.6,6.4,5.4,3.5,3.3,3.0,0.7
Ruben Patterson,93.8,6.7,5.6,5.5,3.4,3.2,3.0,0.2
Ed Davis,91.9,6.7,6.3,5.4,4.0,3.9,2.6,1.7
Junior Bridgeman,90.9,6.7,6.1,5.5,4.0,3.6,2.6,2.1
Dwight Powell,90.9,7.5,6.6,4.6,3.8,3.6,3.1,0.6
Jay Vincent,90.8,6.5,6.0,5.6,3.4,2.8,1.9,1.1
Robert Horry,90.2,6.6,5.9,4.9,4.2,3.6,2.9,1.7
Ersan Ä°lyasova,90.1,6.7,6.4,5.8,4.0,3.8,1.6,1.0
Larry Siegfried,89.7,6.4,5.8,5.6,5.1,3.2,2.9,0.5
Carl Landry,89.3,7.7,6.2,5.9,4.1,3.7,2.9,0.4
Mel Hutchins,89.0,6.9,5.8,4.4,3.9,3.8,2.8,0.3
