"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Jaren Jackson Jr.,,6.6,6.4,5.4,3.5,3.3,3.0,0.7,,,,
Mel Hutchins,89.0,6.9,5.8,4.4,3.9,3.8,2.8,0.3,,,,
Jay Vincent,88.8,6.5,6.0,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,,
Warren Davis,88.4,8.1,5.8,5.7,3.4,3.4,3.2,,,,,
Chris Boucher,87.7,6.1,6.0,5.0,3.8,2.7,1.7,0.7,0.0,,,
Gene Banks,86.9,7.9,6.2,5.6,4.3,3.6,3.5,,,,,
Bob Gross,86.2,7.4,7.1,4.4,3.8,3.1,2.9,1.7,0.2,,,
DeMarre Carroll,85.3,7.0,5.8,4.1,3.8,3.1,3.1,1.2,0.5,0.5,0.3,0.1
Chandler Parsons,84.0,7.6,7.0,5.5,4.3,3.4,1.1,0.2,0.0,-0.1,,
OG Anunoby,83.4,6.5,5.7,4.7,3.7,3.1,3.0,2.6,2.0,,,
Larry Siegfried,83.1,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,,
