Season,Team,Lg,Salary
2014-15,Denver Nuggets,NBA,"$1,519,200"
2015-16,Denver Nuggets,NBA,"$1,587,480"
2016-17,Denver Nuggets,NBA,"$1,655,880"
2017-18,Denver Nuggets,NBA,"$2,550,055"
2018-19,Denver Nuggets,NBA,"$16,517,857"
2019-20,Denver Nuggets,NBA,"$17,839,286"
2020-21,Orlando Magic,NBA,"$19,160,714"
2021-22,Orlando Magic,NBA,"$20,482,143"
2022-23,Orlando Magic,NBA,"$13,000,000"
2023-24,Orlando Magic,NBA,"$13,000,000"
2024-25,Orlando Magic,NBA,"$7,500,000"
Career,(may be incomplete),,"$114,812,615"
