"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Gary Harris,,5.5,4.6,4.0,2.7,2.6,2.3,2.2,1.9,1.0,0.7,-0.7
Hubert Davis,89.3,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1
Jeremy Lamb,89.1,5.3,4.9,3.3,2.7,2.7,2.7,2.1,1.6,1.2,0.2,
Lucious Harris,89.0,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.1,0.8,0.6,0.4
Jim Jackson,88.5,5.4,4.9,4.4,2.8,2.8,2.5,2.5,2.5,0.6,0.1,-1.6
Buddy Hield,87.4,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,,
Eric Piatkowski,86.8,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.3,2.0,1.2,0.9
Josh Richardson,86.8,5.6,5.4,3.5,2.5,2.4,2.2,2.1,2.1,1.8,-0.1,
Evan Fournier,86.6,5.7,4.6,3.7,3.3,3.2,2.8,2.8,2.1,1.4,1.0,0.1
Steve Blake,86.4,5.8,3.8,3.3,2.8,2.4,2.1,1.8,1.8,1.0,0.7,0.3
Rodney Stuckey,86.3,5.0,4.5,4.0,3.8,2.7,2.5,2.2,2.0,2.0,-0.1,
