"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Ronnie Brewer,,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0.0,,,
Johnny Moore,91.6,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,,
Scott Skiles,89.7,8.0,7.0,4.5,4.4,3.2,2.0,1.3,0.3,0.1,-0.2,
George King,88.0,8.1,6.4,6.3,3.8,3.8,3.0,,,,,
Andrew Toney,88.0,7.3,6.4,5.5,4.0,2.2,1.2,0.5,-0.2,,,
Butch Beard,86.9,7.6,5.9,5.6,4.4,3.7,2.2,2.0,1.5,0.0,,
Flynn Robinson,85.9,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,,,
Ralph Simpson,85.8,7.2,7.2,6.3,4.2,2.3,1.2,1.1,-0.1,-0.2,-0.2,
Ben Gordon,85.0,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6
George Thompson,84.5,7.7,6.7,6.5,5.6,2.7,1.8,,,,,
Michael Ray Richardson,84.2,8.7,6.9,6.0,5.5,3.3,2.4,2.0,0.3,,,
