Season,Team,Lg,Salary
2001-02,Golden State Warriors,NBA,"$1,310,400"
2002-03,Golden State Warriors,NBA,"$1,408,680"
2003-04,Golden State Warriors,NBA,"$1,506,960"
2004-05,Golden State Warriors,NBA,"$2,231,808"
2005-06,Golden State Warriors,NBA,"$7,365,079"
2006-07,Indiana Pacers,NBA,"$8,285,714"
2007-08,Indiana Pacers,NBA,"$9,206,349"
2008-09,Indiana Pacers,NBA,"$10,126,984"
2009-10,Indiana Pacers,NBA,"$11,047,619"
2010-11,Golden State Warriors,NBA,"$11,968,253"
2011-12,Los Angeles Lakers,NBA,"$1,352,181"
2012-13,Dallas Mavericks,NBA,"$214,758"
Career,(may be incomplete),,"$66,024,785"
