"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Ante Å½iÅ¾iÄ,,2.0,1.0,0.5,,
Hank Whitney,92.3,1.8,1.1,0.5,,
Billy Schaeffer,90.3,1.9,0.8,0.5,,
Keith Lee,88.1,1.9,1.1,0.8,,
Joe Kopicki,87.5,1.9,0.9,0.7,,
Tellis Frank,86.1,2.0,1.1,0.6,0.3,0.1
Kenny Battle,83.5,1.9,1.3,0.3,0.1,
Harry Giles,83.4,1.6,1.0,0.5,0.1,
Walter Herrmann,81.1,2.4,1.0,0.7,,
Joey Dorsey,80.8,1.9,0.8,0.1,0.0,
Marty Byrnes,80.3,2.3,1.0,0.9,0.0,
