"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Brandon Ingram,,5.3,5.1,5.1,3.9,3.5,2.8,2.0,0.0,-0.3
Walt Simon,90.9,6.1,4.8,4.5,4.1,3.4,2.7,2.0,,
Walt Williams,90.5,5.4,5.1,5.1,4.4,3.7,3.0,2.2,1.6,-0.7
Ben Poquette,89.5,5.4,5.0,4.9,3.5,3.4,2.5,2.3,1.3,0.6
Tom Van Arsdale,88.2,5.5,5.0,4.8,4.0,3.1,2.7,2.2,1.4,1.0
Chuck Person,87.4,5.4,5.4,4.6,3.9,3.6,3.3,3.0,1.2,0.0
Ken Norman,86.9,5.2,4.8,4.0,4.0,3.2,2.9,1.9,1.1,0.6
Austin Croshere,86.6,5.4,4.1,4.1,3.4,3.2,2.6,2.0,0.3,0.0
Kenny Carr,85.6,6.7,5.8,5.1,3.8,3.1,2.9,2.1,1.1,0.0
Stephen Jackson,85.4,4.8,4.6,4.4,4.4,4.1,3.1,2.2,0.9,-0.1
Louis Orr,85.2,4.8,4.3,4.3,3.8,3.7,3.5,1.5,-0.2,
