"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Kyle Singler,,4.4,2.3,2.0,1.1,0.3,0.0
Bruce Bowen,93.1,4.2,2.2,1.9,1.2,0.0,0.0
Brian Cook,91.7,4.5,2.0,1.8,1.1,0.4,0.0
Ed Nealy,89.6,4.7,2.0,1.9,1.2,0.4,0.3
Brian Skinner,89.6,4.1,2.7,1.9,0.9,0.3,0.1
Harold Pressley,87.7,4.8,2.3,2.2,0.7,,
Carl Herrera,87.5,4.6,2.1,2.0,0.5,0.1,-0.2
BoÅ¡tjan Nachbar,87.1,4.1,2.2,1.7,0.8,0.1,-0.1
Collis Jones,86.4,4.2,3.2,2.1,1.2,,
Anthony Bonner,85.2,4.1,2.4,1.8,1.6,0.7,0.0
Josh McRoberts,84.3,4.9,2.2,1.5,1.4,0.4,0.1
