"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Ryan Hollins,,1.8,1.7,1.3,1.2,1.1,1.0,1.0,1.0,0.2,0.2
Paul Mokeski,71.4,3.4,1.7,1.6,1.4,1.3,1.1,1.0,0.9,0.8,-0.1
John Lambert,65.3,1.8,1.5,1.0,0.9,0.7,0.6,0.4,,,
Michael Doleac,61.2,3.0,2.2,1.9,1.7,1.5,1.2,0.6,0.3,0.3,0.0
Calvin Booth,60.9,2.2,2.1,1.0,0.8,0.6,0.5,0.4,0.3,0.1,0.1
Sean Rooks,59.2,3.0,2.3,2.2,1.8,1.8,1.5,1.1,1.1,0.6,0.3
Jahlil Okafor,59.0,2.2,1.3,1.2,1.2,0.6,0.6,0.0,,,
Eric Leckner,57.0,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1,,
Hub Reed,56.7,2.8,2.0,1.7,1.3,1.0,0.6,0.0,,,
Aaron Gray,55.5,1.4,1.3,1.1,0.9,0.8,0.5,0.1,,,
Jake Tsakalidis,55.3,2.8,2.8,1.3,1.2,0.9,0.6,0.3,,,
